motis_id,name
50-1-7778549-TRDU,Xplore Dundee
50-1-7778550-BNDB,Bee Network
50-1-7778567-HDGS,Hodgsons
50-1-7778580-SWCT,Wigtownshire Community Transport
50-1-7778604-MBLB,Midland Bluebird
50-1-7778634-BNML,Bee Network
50-1-7778649-WCMO,West Coast Motors
50-1-7778708-NCTG,Community Transport Glasgow
50-1-7778753-SPTU,SPT Subway
50-1-7778806-DECO,D & E Coaches
50-1-7778884-EDTR,Edinburgh Trams
50-1-7778950-LOTH,Lothian Buses
50-1-7778951-NELB,Lothian Country Buses
50-1-ADER-ADER,Arriva Derby
50-1-CBLL-CBNL,Centrebus
50-1-CNTC-CNTC,Centaur Coaches
50-1-CSLB-CSLB,Carousel Buses
50-1-FB-FTVA,First Berkshire & The Thames Valley
50-1-FB-RRAR,Reading RailAir
50-1-FLY-FLYE,Flyer
50-1-KBUS-KBUS,Kinchbus
50-1-KCTB-KCTB,Konectbus
50-1-MDCL-MDCL,Diamond Bus East Midlands
50-1-NDTR-NDTR,Notts and Derby
50-1-O1-BPTR,The Burnley Bus Company
50-1-O1-CBUS,Cardiff Bus
50-1-O1-CELT,Celtic Travel
50-1-O1-CTNY,Thames Valley Buses
50-1-O1-FECS,First Norfolk & Suffolk
50-1-O1-FGLA,First Greater Glasgow
50-1-O1-LJCO,Llew Jones
50-1-O1-MHCO,M & H Coaches
50-1-O1-NADT,Adventure Travel
50-1-O2-GWCO,Gwynfor Coaches
50-1-O2-LLAN,Lewis Y Llan
50-1-OId__GF-GOSF,Gosport-Portsmouth Ferry
50-1-OId_AMN-AMNO,Arriva Midlands
50-1-OId_ARBB-ARBB,Arriva Beds and Bucks
50-1-OId_ARHE-ARHE,Arriva Herts and Essex
50-1-OId_BE-GAHL,Go Ahead London
50-1-OId_CAB-IFSC,IFS Cloud Cable Car
50-1-OId_CFW-CFWX,Community First Wessex
50-1-OId_CRD-CRDR,Chaserider
50-1-OId_CX-ABLO,Transport UK
50-1-OId_DIA-DIAM,Diamond Bus
50-1-OId_DLR-LDLR,London Docklands Light Railway - TfL
50-1-OId_FLIX-FLIX,FlixBus
50-1-OId_GLAR-GLAR,Green Line (operated by Arriva)
50-1-OId_IPSW-IPSW,Ipswich Buses
50-1-OId_LI-LIBC,Stagecoach London
50-1-OId_LO-LOTR,London Transit
50-1-OId_LU-LUTD,London United
50-1-OId_LUL-LULD,London Underground (TfL)
50-1-OId_ML-MTLN,Metroline Travel
50-1-OId_MN-AVLO,Arriva London
50-1-OId_NATX-NATX,National Express
50-1-OId_NXB-TNXB,National Express West Midlands
50-1-OId_PC-PLYC,Plymouth Citybus
50-1-OId_PC2-TFCN,Go Cornwall Bus
50-1-OId_REDE-REDE,Red Eagle
50-1-OId_RRTR-RRTR,Red Rose Travel
50-1-OId_SBS-SLBS,Select Bus Services
50-1-OId_SCLK-SCLK,Scottish Citylink
50-1-OId_SK-ELBG,Stagecoach London
50-1-OId_SQ-BLUS,Bluestar
50-1-OId_SRC-SWNR,Swanage Railway Company
50-1-OId_SV-LSOV,London Sovereign
50-1-OId_SV-SVCT,Southern Vectis
50-1-OId_THTR-THTR,Thames Travel
50-1-OId_TMM-MDMT,West Midlands Metro
50-1-OId_UN-UNIB,Uno
50-1-OId_WD-WDBC,morebus
50-1-OId_WLK-WLKF,WightLink
50-1-REDC-REDC,Redwing Coaches
50-1-RLNE-RLNE,Redline
50-1-SULV-SULV,Sullivan Buses
50-1-TLC-TLCT,TLC Travel
50-2-AW,Transport for Wales
50-2-CH,Chiltern Railways
50-2-CS,Caledonian Sleeper
50-2-EM,E M R
50-2-GC,Grand Central
50-2-GN,Great Northern
50-2-GR,LNER
50-2-GW,GWR
50-2-GX,Gatwick Express
50-2-HT,Hull Trains
50-2-HX,Heathrow Express
50-2-IL,Island Line
50-2-LD,East Coast Trains
50-2-LE,Great Anglia
50-2-LM,West Midlands Trains
50-2-LO,London Overground
50-2-LT,London Underground
50-2-ME,Merseyrail
50-2-NT,Northern
50-2-SE,Southeastern
50-2-SN,Southern
50-2-SR,ScotRail
50-2-SW,South Western Railway
50-2-TL,Thameslink
50-2-TP,TransPennine Express
50-2-TW,Tyne and Wear Metro
50-2-VT,Avanti West Coast
50-2-XC,CrossCountry
50-2-XR,Elizabeth line
50-2-ZZ,Agency
500,CTM Spa
51-49-GLE,Goldline Express
51-50-WIRISHI,Translink Northern Ireland Rail
513,Norrtåg
516,Cottbusverkehr GmbH
52,Reisebüro Breuss
54,ARGE Tiroler Zugspitzbahn Tyroltours
546,Kraftverkehrsgesellschaft mbH Braunschweig
547,Peiner Verkehrsgesellschaft mbH
549,Verkehrsgesellschaft Landkreis Gifhorn mbH
550,Wolfsburger Verkehrs-GmbH
552,RVHI Regionalverkehr Hildesheim GmbH
553,SVHI Stadtverkehr Hildesheim GmbH
566,Busverkehr Oder-Spree GmbH
6100826,CFR Călători
615,Verkehrsgemeinschaft Osnabrück
619,Fluo Grand Est 57
620,Breuss
629,Haparanda lokaltrafik
631,Krautgartner-Bus
637,Boden Stadstrafik
662,Dr. Richard -Standort Oberösterreich
6750,OSL / Koiviston Auto Oulu Oy
685,Lüchow-Schmarsauer Eisenbahn
690,Nordhessischer Verkehrsverbund
7031,Aroser Verkehrsbetriebe
706,Sabinchen Touristik GmbH
708,Elektrobus Zermatt
716,Ortsbus St. Moritz
720,Bittner/Emsland-Mitte
722,Stern & Hafferl Kraftfahrlinien GmbH
723,Aargau Verkehr AG
7230,BLS Netz AG Ersatzverkehr
7231,SBB Infrastruktur AG Bahnersatz
7250,Rhätische Bahn Ersatzverkehr
726,ORP Ostprignitz-Ruppiner Personennahverkehrsgesellschaft mbH
731,ODEG Ostdeutsche Eisenbahn GmbH
736,Autolinea Mendrisiense SA
737,Servizio d'automobili
744,Wels Linien GmbH
7493,Rurseeschifffahrt
75,RD Ardennes Métropole
751,Hanseatische Eisenbahn
7539,STVP
7546,Buchmann
7548,Ehrmann
755,Autobusbetrieb Freienbach
7550,Hagmann
7552,Morath
7553,Müller
7554,Isny
7558,Volk
7571,Bahnen der Stadt Monheim
7572,Mülheimer Verkehrsgesellschaft
7573,Busverkehr Rheinland
7589,Landkreis Cham
7593,Calw VPC
7599,Stadtwerke Biberach
760,Astuce
7600,Klemens Diesch
7601,Diesch GmbH
7606,BBS Schapfl
7608,Probst
7612,Fromm
7620,Walk
7626,Gairing NU
7627,Weidachstein
7628,Oster
7631,Dortmunder Stadtwerke U-Bahn
7632,Dortmunder Stadtwerke Bus
7633,Dortmunder Stadtwerke Hochbahn
7634,DVG Strab
7635,DVG Bus
7636,DVG
7637,"Essener Verkehrs AG, Omnibus"
7638,"Essener Verkehrs AG, U-Bahn"
7639,"Essener Verkehrs AG, Straßenbahn"
7640,Private Omnibusunternehmer GmbH
7657,HCR alles
766,Bus und Service AG (Chur)
7662,Hagener Straßenbahn AG Bus
7664,Busverkehr Nordschwarzwald GmbH
7666,Bus RVS
7669,Bus VERA
7678,Märkische Verkehrsgesellschaft
7680,MVG Shuttelverkehr FH Iserlohn
7681,MVG ALF/AST Verkehr
7688,ExpressBus
7713,NIAG
7714,OVA - Omnibus-Verkehr Aalen
7715,Omnibusverkehr Abt Schwäbisch Gmünd
7718,Beck + Schubert GmbH & CoKG
773,Verkehrsbetriebe Glattal
7776,Stadtwerke Oberhausen
7777,Städtische Werke Krefeld Strab
7778,Städtische Werke Krefeld Bus
7779,Neusser Stadtwerke GmbH Bus
7781,Stadtwerke Remscheid
7782,Stadtwerke Solingen
7789,Verkehrsgesellschaft Ennepe-Ruhr mbH
7790,Vestische Straßenbahnen GmbH Bus
7793,RVM Kreis Coesfeld
7794,RVM Kreis Warendorf
7795,Verkehrsgesellschaft Kreis Unna mbH
7796,RLG AST
7797,Westfalen Bus
