wikidata_id,name
Q1478781,Fähren Bremen–Stedingen
Q1393379,Fairplay Reederei
Q1396597,Farge-Vegesacker Eisenbahn
Q111461290,Farrenkopf-Reisen
Q1397514,Fass Reisen
Q63481300,Feldbahn am Technoseum
Q97940850,Feldbahnschauanlage Glossen
Q28870175,Fels Netz
Q1420324,Fischle
Q1428045,Flensburger Kreisbahn
Q130213579,Flex Bahndienstleistungen
Q15712258,Flix SE
Q1881378,FlixBus
Q55499626,Flixtrain
Q1438279,Forster Stadteisenbahn
Q1440270,Fr. Meyer’s Sohn
Q1418307,Frankfurt-Königsteiner Eisenbahn
Q1444998,Frankfurter Lokalbahn
Q1445049,Frankfurter Trambahn-Gesellschaft
Q1277101,Fränkische Museums-Eisenbahn
Q1450044,Franzburger Kreisbahnen
Q1399165,Freiberger Eisenbahn
Q881285,Freiburger Verkehrs AG
Q802425,Freien Grunder Eisenbahn
Q1457931,Friedrich-Wilhelms-Nordbahn-Gesellschaft
Q28870843,Friesoyther Eisenbahngesellschaft
Q15392129,Fritz Behrendt (Unternehmen)
Q111461273,Gehrig Touristik
Q15793112,Geißler Reisen
Q1502846,Geodis Wilson
Q317590,Georg Verkehrsorganisation
Q1514472,Gernrode-Harzgeroder Eisenbahn-Gesellschaft
Q1515104,Gersthofer Verkehrsgesellschaft
Q1518384,Gesellschaft der Pfälzischen Nordbahnen
Q1518522,Gesellschaft für Straßenbahnen im Saartal
Q1533359,Go.on Gesellschaft für Bus- und Schienenverkehr
Q1559811,Göttinger Kleinbahn
Q1559833,Göttinger Verkehrsbetriebe
Q1546455,Griensteidl (Unternehmen)
Q111190851,Grimm-Reisen GmbH
Q1547872,Groß Bieberau-Reinheimer Eisenbahn
Q317791,Großherzoglich Hessische Staatseisenbahnen
Q1562559,H. C. Horn
Q1562700,HADAG Seetouristik und Fährdienst
Q15112041,Haeger & Schmidt
Q812496,Hafen Aschaffenburg
Q1567757,Hafen- und Bahnbetriebe der Stadt Krefeld
Q1335185,Hagener Straßenbahn
Q1538090,Hal över
Q1570326,Halberstadt-Blankenburger Eisenbahn
Q1570338,Halberstädter Bus-Betriebe
Q15112073,Halberstädter Verkehrs-GmbH
Q1288005,Haller Busbetrieb
Q1571651,Hallesche Verkehrs-AG
Q1571722,Halligbahn Dagebüll–Oland–Langeneß
Q1278125,Halligbahn Lüttmoorsiel–Nordstrandischmoor
Q1471130,Hamburg-Altonaer Stadt- und Vorortbahn
Q1572759,Hamburg-Atlantic Linie
Q1572766,Hamburg-Bergedorfer Eisenbahn
Q15819114,Hamburg-Bremer Afrika-Linie
Q822867,Hamburg-Köln-Express
Q1573025,Hamburger Hafenbahn
Q6442,Hamburger Hochbahn AG
Q39487272,Hameister Personenverkehr
Q15819137,Hammonia Reederei
Q1574252,Hanauer Straßenbahn
Q26277251,Hanekamp Busreisen GmbH
Q1583615,Hansa Heavy Lift
Q1583623,Hansa Mare Reederei
Q1583648,Hansaport
Q22979891,Hanseatische Eisenbahn
Q96081170,Hanseatische Infrastrukturgesellschaft
Q1583712,Hanseatische Reederei Emil Offen & Co.
Q1583723,Hansebahn Bremen
Q819094,Hapag-Lloyd
Q1576783,Hapag-Lloyd Cruises
Q1585668,Harms Bergung
Q830772,Haru Reisen
Q481535,Harzer Schmalspurbahnen
Q1588022,Harzer Verkehrsbetriebe
Q1588472,Haslach Bus
Q79154694,Haussmann & Bauer
Q1562765,HAV Verkehrsbetriebsgesellschaft
Q1591492,Havelbus
Q1390047,Havelländische Eisenbahn
Q43402241,HEAG mobiBus GmbH & Co. KG
Q1563487,HEAG mobilo GmbH
Q43402515,HEAG mobiTram GmbH & Co. KG
Q54189803,Heavy Haul Power International
Q1594168,Heidenheimer Verkehrsgesellschaft
Q1324308,Heider Stadtverkehr
Q18287436,Heinrich Klingenberg
Q1602813,Hellertalbahn GmbH
Q1602815,Hellespont
Q1171058,Herforder Kleinbahn
Q1609810,Herforder Versorgungs- und Verkehrs-Beteiligungs-GmbH
